,City,Cloudiness,Country,Date,Humidity,Lat,Long,Max Temp,Wind Speed
0,El Banco,8,CO,1514082584,61,9.0,-73.97,83.96,6.64
1,Igrim,80,RU,1514082584,75,63.19,64.42,18.31,6.93
2,Aksha,0,RU,1514082585,49,50.28,113.29,7.06,7.94
3,Sokoni,24,CD,1514082585,93,-12.89,28.78,62.99,2.62
4,Dano,0,BF,1514082586,31,11.14,-3.06,60.7,8.88
5,Medak,0,IN,1514080800,93,18.05,78.27,59.0,3.13
6,Mokrousovo,0,RU,1514082587,78,55.81,66.77,4.54,9.66
7,Timbiqui,100,CO,1514082587,100,2.77,-77.67,73.48,2.8
8,Fagernes,0,NO,1514082588,75,60.99,9.24,24.97,8.55
9,Gladstone,0,AU,1514082588,54,-23.84,151.26,87.79,9.78
10,Xingyi,64,CN,1514082588,71,24.19,102.82,46.34,5.14
11,Maumere,32,ID,1514082589,100,-8.63,122.22,81.76,2.01
12,Pokosnoye,76,RU,1514082590,71,55.53,101.05,8.09,3.36
13,Volksrust,76,ZA,1514082590,98,-27.36,29.88,59.35,3.36
14,Venado,24,MX,1514082590,95,22.93,-101.09,49.58,3.06
15,Codroipo,0,IT,1514080200,81,45.96,12.98,32.0,2.24
16,Santa Isabel do Rio Negro,24,BR,1514082591,88,-0.41,-65.02,77.62,4.29
17,Krasnyy Chikoy,64,RU,1514082592,61,50.36,108.75,12.19,3.58
18,Chinchani,0,IN,1514082592,65,16.42,74.53,61.91,5.64
19,Galashki,80,RU,1514082592,95,43.1,44.99,22.76,2.84
20,Chisinau,75,MD,1514080800,84,47.01,28.86,32.0,10.29
21,Pangkalanbuun,56,ID,1514082593,82,-2.68,111.62,85.9,5.59
22,Fuling,68,CN,1514082594,100,29.71,107.39,44.5,3.51
23,Kasama,36,ZM,1514082594,93,-10.21,31.19,61.01,3.06
24,Gizycko,92,PL,1514082595,91,54.04,21.76,43.87,32.93
25,Aguada de Pasajeros,36,CU,1514080740,94,22.38,-80.85,68.0,5.82
26,Orchard Homes,90,US,1514080380,78,46.86,-114.05,10.4,5.82
27,Campina Grande do Sul,40,BR,1514080800,88,-25.3,-49.05,69.8,6.93
28,Zhumadian,0,CN,1514082596,42,33.01,114.02,46.12,20.07
29,Iquique,0,CL,1514080800,64,-20.22,-70.14,69.8,10.29
30,Ileza,88,RU,1514082597,84,61.05,43.9,21.28,14.47
31,Cangzhou,0,CN,1514082597,55,38.3,116.85,38.33,18.05
32,New Norfolk,0,AU,1514080800,67,-42.78,147.06,64.4,13.87
33,Mana,75,RS,1514080800,80,43.52,20.24,39.2,2.24
34,Pueblo Nuevo,76,MX,1514082599,68,23.99,-106.96,73.57,3.24
35,Ostrovnoy,76,RU,1514082599,85,68.05,39.51,14.44,4.74
36,Tsybuliv,88,UA,1514082488,92,49.08,29.85,31.63,20.58
37,Owando,80,CG,1514082600,96,-0.49,15.91,70.91,2.24
38,Kotma,0,IN,1514082600,80,23.2,81.98,54.67,2.73
39,Tayshet,76,RU,1514082601,91,55.94,98.01,11.96,2.01
40,Gewane,0,ET,1514082601,83,10.16,40.66,44.63,2.62
41,Nyimba,32,ZM,1514082602,89,-14.56,30.81,70.96,3.8
42,Weyburn,56,CA,1514082605,62,49.67,-103.85,10.93,6.87
43,Lappeenranta,90,FI,1514082000,86,61.06,28.19,26.6,12.75
44,Kirksville,75,US,1514080500,67,40.19,-92.58,21.2,8.05
45,Kobelyaky,20,UA,1514082606,86,49.15,34.2,26.63,14.32
46,Guantanamo,88,BO,1514082607,82,-16.14,-62.05,76.04,4.29
47,Houston,1,US,1514080500,57,29.76,-95.37,51.8,3.85
48,Sobolevo,92,RU,1514082608,99,54.43,31.9,37.88,16.22
49,Partizanskoye,48,UA,1514082608,94,44.83,34.08,26.68,4.14
50,Kristiansund,92,NO,1514080200,86,63.12,7.73,41.0,17.22
51,Pontianak,20,ID,1514079000,88,-0.02,109.34,80.6,3.36
52,Vaitape,12,PF,1514082610,98,-16.52,-151.75,83.51,15.59
53,Nsoko,0,ZA,1514082610,91,-27.07,31.93,67.99,3.13
54,Ayia Marina,75,GR,1514080200,80,37.75,23.53,41.0,3.36
55,Rastolita,92,RO,1514082611,93,46.97,24.99,23.35,3.06
56,Hamada,75,JP,1514080800,58,34.9,132.08,55.4,13.87
57,Nsunga,80,TZ,1514082612,82,-1.13,31.39,60.07,2.01
58,Jenison,90,US,1514081760,68,42.91,-85.79,26.6,11.41
59,Honavar,0,IN,1514082613,83,14.28,74.45,74.83,7.43
60,Doembang Nangbuat,0,TH,1514082613,55,14.85,100.1,82.48,14.81
61,Mali,0,CN,1514082614,64,27.53,102.2,35.99,1.72
62,Airai,48,TL,1514082614,83,-8.93,125.41,78.74,2.06
63,Harstad,88,NO,1514080800,86,68.8,16.53,33.8,3.36
64,Chapeco,40,BR,1514080800,94,-27.1,-52.62,71.6,6.93
65,Charlottetown,90,CA,1514080800,93,46.23,-63.13,35.6,21.92
66,Denizli,75,TR,1514080200,100,37.77,29.09,30.2,4.7
67,Clyde River,1,CA,1514080800,74,70.47,-68.59,-25.61,4.7
68,Chipata,44,ZM,1514082617,98,-13.64,32.65,64.88,2.8
69,Umea,0,SE,1514080200,85,63.83,20.26,21.2,6.93
70,Odessa,1,US,1514080500,20,31.85,-102.37,57.2,9.17
71,Pitiquito,0,MX,1514082618,50,30.68,-112.05,41.44,4.25
72,Santander,75,PH,1514077200,83,9.42,123.33,82.4,13.87
73,Governador Valadares,76,BR,1514082619,83,-18.85,-41.95,74.06,6.53
74,Idah,8,NG,1514082619,80,7.11,6.73,77.17,5.59
75,Ongandjera,68,NA,1514082619,66,-17.88,15.07,67.81,6.04
76,Caruray,76,PH,1514082620,100,10.31,119.01,79.51,18.05
77,Puerto Penasco,0,MX,1514082498,98,31.32,-113.53,60.97,10.96
78,Kaohsiung,75,TW,1514081700,68,22.62,120.31,69.8,13.87
79,South Sioux City,1,US,1514081700,85,42.47,-96.41,14.0,3.85
80,Siverek,75,TR,1514080200,81,37.75,39.32,46.4,13.87
81,Vazante,8,BR,1514082622,87,-17.99,-46.9,69.25,3.29
82,Orlovskiy,80,RU,1514082622,94,46.87,42.05,29.51,5.53
83,Les Escoumins,92,CA,1514082623,74,48.35,-69.4,11.69,2.73
84,Guhagar,0,IN,1514082623,90,17.48,73.19,74.51,4.25
85,Concordia,12,AR,1514082624,73,-31.4,-58.02,65.96,19.73
86,Alghero,0,IT,1514082624,76,40.56,8.32,40.99,4.59
87,Gistrup,12,DK,1514082625,89,56.99,9.99,45.58,22.64
88,Aconibe,92,GQ,1514082625,98,1.29,10.94,68.21,2.06
89,Douglas,1,US,1514080560,100,58.28,-134.39,17.6,3.36
90,Virden,0,CA,1514082626,76,49.85,-100.93,-8.11,6.93
91,Plaster Rock,90,CA,1514081280,85,46.91,-67.4,24.8,5.82
92,Noyabrsk,88,RU,1514082627,84,63.2,75.45,16.96,18.23
93,Ciudad Real,0,ES,1514082592,73,38.99,-3.93,25.46,2.8
94,Yarim,0,YE,1514082627,53,14.3,44.38,23.17,3.13
95,Thoen,0,TH,1514082628,65,17.61,99.22,76.54,3.02
96,Manchar,8,IN,1514082628,72,19.0,73.94,54.85,2.91
97,Takapau,56,NZ,1514082629,59,-40.02,176.35,71.09,9.33
98,Peachland,1,CA,1514080800,92,49.77,-119.75,14.0,6.93
99,Corning,90,US,1514080500,86,42.14,-77.05,33.8,4.7
100,Erenhot,0,CN,1514082630,60,43.65,111.97,8.14,7.27
101,Santa Rita,20,VE,1514080800,83,10.21,-67.56,75.2,2.57
102,Ust-Maya,32,RU,1514082631,0,60.42,134.54,-42.31,3.58
103,Chaozhou,0,CN,1514080800,52,23.66,116.62,69.8,11.18
104,Enterprise,80,US,1514080680,100,31.32,-85.86,69.8,9.17
105,Ihosy,0,MG,1514082632,91,-22.4,46.13,60.11,2.62
106,Badarganj,64,BD,1514082633,98,25.68,89.06,63.26,4.03
107,Tamworth,32,AU,1514080800,22,-31.09,150.93,96.8,14.99
108,Monrovia,20,LR,1514080800,83,6.33,-10.8,73.4,2.01
109,Tuatapere,36,NZ,1514082634,65,-46.13,167.69,68.62,18.12
110,Methoni,20,GR,1514080200,60,36.82,21.7,39.2,6.93
111,Coihueco,0,CL,1514080800,45,-36.63,-71.83,62.6,9.17
112,Kerchevskiy,76,RU,1514082635,81,59.95,56.29,16.24,10.33
113,Elko,20,US,1514076960,50,40.83,-115.76,33.8,5.82
114,Albacete,36,ES,1514077200,93,39.0,-1.86,42.8,4.7
115,Yarensk,80,RU,1514082637,86,62.17,49.09,20.92,6.08
116,Matay,0,EG,1514082637,80,28.42,30.79,49.45,6.6
117,Constantine,40,DZ,1514080800,93,36.36,6.61,39.2,2.24
118,Paraiso,75,MX,1514079900,69,24.01,-104.61,62.6,9.17
119,Zhenlai,0,CN,1514082638,58,45.84,123.2,13.72,7.16
120,Kourou,75,GF,1514080800,88,5.16,-52.64,77.0,3.36
121,Leona Vicario,5,MX,1514079780,88,20.99,-87.21,73.4,4.7
122,Arshan,0,YE,1514082639,71,14.32,46.95,33.97,3.24
123,Damietta,0,EG,1514077200,82,31.42,31.81,59.0,14.99
124,Cumana,12,VE,1514082640,84,10.46,-64.17,65.74,3.74
125,Santa Comba,0,ES,1514079000,100,43.03,-8.81,39.2,2.24
126,Petropavlovka,12,RU,1514082641,55,50.61,105.32,-2.26,2.51
127,Buribay,68,RU,1514082642,58,51.96,58.16,-2.4,3.74
128,Barra do Corda,56,BR,1514082642,98,-5.5,-45.25,70.69,4.85
129,Curillo,8,CO,1514082643,94,1.03,-75.92,66.91,2.39
130,San Carlos del Zulia,44,VE,1514082643,95,9.0,-71.91,75.91,1.28
131,Krasne,90,UA,1514080920,93,49.91,24.61,41.0,17.9
132,Ha Tinh,92,VN,1514082644,100,18.33,105.9,66.59,24.38
133,Auki,0,NG,1514082645,45,12.18,6.51,64.12,11.41
134,Ulverstone,24,AU,1514082645,55,-41.16,146.17,60.16,13.42
135,Kyabram,0,AU,1514082645,61,-36.31,145.05,76.81,11.07
136,Guane,0,CU,1514082646,94,22.2,-84.09,67.09,4.81
137,Uyskoye,0,RU,1514082646,54,54.37,60.01,-11.71,3.74
138,San Buenaventura,8,MX,1514082646,70,27.06,-101.55,48.73,1.57
139,La Sarre,32,CA,1514082647,77,48.8,-79.2,6.83,8.43
140,Boende,36,CD,1514082648,97,-0.28,20.88,72.22,3.24
141,Kingisepp,76,RU,1514082648,83,59.38,28.61,31.09,13.13
142,Kozhevnikovo,76,RU,1514082648,87,56.26,83.98,15.25,6.26
143,Samarkand,0,UZ,1514080800,36,39.65,66.98,46.4,9.17
144,Spencer,1,US,1514081700,84,43.14,-95.14,14.0,5.82
145,Nikki,0,BJ,1514082650,45,9.94,3.21,63.44,7.94
146,Ahlat,92,TR,1514082650,97,38.75,42.49,39.37,13.47
147,Jaromerice nad Rokytnou,90,CZ,1514080800,87,49.09,15.89,46.4,16.11
148,Baturaja,0,ID,1514082651,100,-4.12,104.17,82.88,4.52
149,Suba,0,CN,1514082652,75,28.73,103.51,49.9,2.51
150,Markova,20,RU,1514080800,84,52.21,104.21,-0.41,2.24
151,Aracati,64,BR,1514082587,85,-4.56,-37.77,77.62,6.93
152,Funtua,0,NG,1514082653,50,11.52,7.31,63.76,13.35
153,Abalak,0,NE,1514082653,41,15.46,6.28,59.93,11.9
154,Dunmore Town,20,BS,1514082654,100,25.5,-76.65,75.19,8.88
155,Camacupa,80,AO,1514082654,95,-12.02,17.48,62.09,2.13
156,Maltahohe,0,NA,1514082655,41,-24.83,16.98,56.38,4.81
157,Bograd,32,RU,1514080800,92,54.22,90.86,6.8,2.24
158,Pangai,92,TO,1514082656,100,-19.8,-174.35,78.88,20.07
159,Aqtobe,90,KZ,1514080800,92,50.28,57.21,15.8,4.47
160,Stephenville,1,US,1514080500,76,32.22,-98.2,44.6,12.08
161,Saryg-Sep,80,RU,1514082657,68,51.49,95.55,-0.19,2.39
162,Joson,12,PH,1514082657,81,15.93,120.99,76.31,2.84
163,Hacienda Heights,90,US,1514080680,42,33.99,-117.97,66.2,1.79
164,Cabras,12,CO,1514082658,93,5.5,-75.6,57.14,1.5
165,Dumabato,68,PH,1514082659,98,16.32,121.7,74.78,3.8
166,Kilrush,90,IE,1514079000,100,51.96,-8.06,51.8,12.75
167,Belaya Kholunitsa,76,RU,1514082659,82,58.84,50.85,15.74,13.58
168,Alcamo,20,IT,1514080500,58,37.98,12.96,57.2,8.05
169,Hennenman,0,ZA,1514082660,96,-27.97,27.03,56.92,10.11
170,Young,0,UY,1514082661,73,-32.7,-57.63,58.72,13.2
171,Villa Constitucion,0,AR,1514080800,63,-33.23,-60.33,66.2,16.11
172,Sargatskoye,76,RU,1514082661,81,55.6,73.49,10.12,8.55
173,Lincoln,44,GB,1514082000,93,53.23,-0.54,50.0,20.8
174,Balaka,76,MW,1514082662,90,-14.99,34.96,68.89,2.8
175,Lazi,0,HR,1514082663,74,45.57,14.64,17.5,1.23
176,Zomin,0,UZ,1514082663,53,39.96,68.4,38.69,9.55
177,Coruripe,92,BR,1514082663,100,-10.12,-36.18,76.31,10.85
178,Florianopolis,75,BR,1514080800,94,-27.6,-48.55,77.0,5.82
179,Khudat,56,AZ,1514082664,98,41.63,48.68,37.48,6.31
180,Copperas Cove,1,US,1514080680,70,31.12,-97.9,42.8,3.36
181,Keita,0,NG,1514080800,78,7.1,3.65,71.6,3.58
182,Muswellbrook,8,AU,1514082666,32,-32.27,150.89,95.71,10.11
183,Senanga,24,ZM,1514082409,96,-16.1,23.3,66.68,7.43
184,Loukhi,92,RU,1514082667,90,66.08,33.04,20.92,5.3
185,Deer Lake,75,CA,1514080800,85,49.18,-57.43,21.2,4.7
186,Port Antonio,20,JM,1514080800,74,18.18,-76.45,80.6,9.17
187,Emerald,12,AU,1514082668,43,-23.53,148.16,93.64,6.08
188,Saint Simons,1,US,1514080500,77,31.14,-81.39,71.6,6.93
189,Bugaan,75,PH,1514077200,83,14.04,120.94,84.2,4.7
190,Ulaanbaatar,8,MN,1514082600,75,47.92,106.92,-13.01,2.24
191,Glenwood Springs,90,US,1514080560,85,39.55,-107.33,35.6,17.22
192,Ocampo,56,PH,1514082670,95,13.56,123.37,80.32,7.76
193,Lardos,40,GR,1514080200,66,36.09,28.02,50.0,21.92
194,Orange Walk,20,JM,1514080800,74,17.93,-76.27,80.6,9.17
195,Colinas,36,BR,1514082672,96,-6.03,-44.25,71.09,2.62
196,Kulu,12,CD,1514082672,68,3.47,23.69,77.48,2.39
197,Nome,1,US,1514080500,81,30.04,-94.42,48.2,3.36
198,Cambrai,90,FR,1514080800,87,50.18,3.24,50.0,13.87
199,Jati,0,PK,1514082674,75,24.35,68.27,48.41,2.8
200,Rebrikha,0,RU,1514082674,72,53.08,82.34,6.38,6.64
201,Fram,0,SI,1514080800,74,46.45,15.64,37.4,2.51
202,Pryyutivka,24,UA,1514082675,86,48.72,33.07,24.38,13.98
203,Nouadhibou,20,MR,1514080800,30,20.93,-17.03,59.0,21.92
204,Wittlich,88,DE,1514082000,93,49.98,6.89,44.6,16.11
205,Zaraza,88,VE,1514082676,79,9.35,-65.33,77.26,8.84
206,Zhicheng,0,CN,1514082677,50,35.04,112.59,42.11,8.1
207,Carnot,64,CF,1514082677,74,4.94,15.87,71.05,2.8
208,Vernon,1,CA,1514080800,92,50.27,-119.27,5.0,6.93
209,Caramay,80,PH,1514082678,100,10.18,119.24,78.97,13.31
210,Sulmona,0,IT,1514080200,86,42.05,13.93,33.8,3.36
211,Puyang,0,CN,1514082679,37,35.76,115.02,43.24,11.97
212,Valer,0,ES,1514082679,70,41.76,-6.18,26.14,5.64
213,Areosa,0,PT,1514080800,71,41.72,-8.86,50.0,10.29
214,Yantzaza,12,EC,1514082680,90,-3.83,-78.76,59.48,2.8
215,Aligarh,0,IN,1514082680,74,27.88,78.07,51.16,2.84
216,Rio Grande,92,BR,1514082681,100,-32.03,-52.1,69.79,19.17
217,Berezayka,76,RU,1514082681,91,57.99,33.91,31.49,14.7
218,Catumbela,36,AO,1514082682,97,-12.43,13.55,62.54,2.39
219,Dalen,92,NL,1514082000,93,52.7,6.76,46.4,14.99
220,Brasilia,40,BR,1514080800,74,-10.9,-37.55,80.6,10.29
221,Ulcinj,0,ME,1514080800,64,41.93,19.22,35.6,3.36
222,Noormarkku,76,FI,1514082000,59,61.59,21.87,33.8,17.22
223,Mazatlan,90,MX,1514079840,78,23.22,-106.42,73.4,2.35
224,Hobbs,1,US,1514081700,19,32.7,-103.14,51.8,11.41
225,South Venice,1,US,1514081460,93,27.05,-82.42,66.2,4.25
226,Paragominas,64,BR,1514082685,94,-3.0,-47.35,75.01,3.13
227,Dengzhou,0,CN,1514082686,38,32.69,112.08,49.81,9.33
228,Fryazino,90,RU,1514080800,92,55.95,38.06,26.6,15.66
229,West Allis,75,US,1514080500,62,43.02,-88.01,19.4,6.93
230,Turan,64,RU,1514082687,71,52.15,93.92,-4.92,1.57
231,Sirsa,8,IN,1514082687,80,29.54,75.04,49.81,3.02
232,Warmbad,75,DE,1514082000,81,50.67,13.08,46.4,18.34
233,Zonguldak,92,TR,1514082688,100,41.25,31.83,38.83,5.53
234,Tokur,48,RU,1514082689,59,53.13,132.9,-8.29,2.62
235,Puqi,0,CN,1514082689,88,29.72,113.88,48.55,13.31
236,Anaconda,40,US,1514080740,83,46.13,-112.94,-14.81,4.7
237,Manzil Salim,20,TN,1514080800,86,35.86,8.48,39.2,4.7
238,Valleyview,68,CA,1514082690,79,55.07,-117.28,14.48,14.09
239,Moctezuma,0,MX,1514082665,67,29.81,-109.68,40.31,1.9
240,La Orilla,32,MX,1514082611,100,18.0,-102.23,74.56,2.35
241,Todos Santos,75,MX,1514079900,78,23.45,-110.23,71.6,3.4
242,Ibiapina,88,BR,1514082692,97,-3.92,-40.89,69.74,2.51
243,Metro,20,ID,1514082692,89,-5.11,105.31,82.57,11.07
244,Bolshoy Lug,20,RU,1514080800,84,52.08,104.09,-0.41,2.24
245,Matelica,0,IT,1514080200,65,43.26,13.01,33.8,5.82
246,Nanyamba,0,MZ,1514082693,88,-10.69,39.81,74.02,8.1
247,Canakkale,75,TR,1514080200,86,40.15,26.41,30.2,3.36
248,Kurush,36,RU,1514082694,77,41.28,47.83,36.67,3.74
249,Mochicahui,75,MX,1514079780,59,25.95,-108.93,66.2,13.87
250,Lukaya,40,UG,1514079000,94,-0.15,31.87,68.0,8.05
251,Kuala Lipis,56,MY,1514082696,95,4.19,102.05,79.51,3.91
252,Carmen,8,PH,1514082696,97,7.2,124.8,83.29,4.03
253,Riom,90,FR,1514080800,81,45.89,3.11,42.8,4.7
254,North Myrtle Beach,90,US,1514081700,100,33.83,-78.68,62.6,17.22
255,Kawambwa,0,ZM,1514082697,100,-9.8,29.07,64.88,2.91
256,Abhar,12,IR,1514082698,31,36.14,49.22,48.28,14.65
257,Riyadh,0,SA,1514080800,43,24.63,46.72,50.0,2.8
258,Lebanon,75,US,1514081700,95,43.64,-72.25,35.6,4.7
259,La Tuque,88,CA,1514082699,87,47.44,-72.79,12.59,3.02
260,Aventura,1,US,1514080560,68,25.96,-80.14,75.2,4.7
261,Macusani,88,PE,1514082700,100,-14.07,-70.43,52.51,1.05
262,Rapid Valley,1,US,1514080560,71,44.06,-103.15,8.6,12.75
263,Novoorsk,75,RU,1514080800,77,51.38,58.98,5.0,6.71
264,Killarney,8,AU,1514082701,63,-28.34,152.3,83.33,3.02
265,Kyaikkami,0,MM,1514082702,59,16.08,97.57,82.84,3.74
266,Chibombo,12,ZM,1514082702,91,-14.68,28.09,66.59,4.25
267,Cilegon,20,ID,1514079000,62,-6.02,106.05,86.0,13.87
268,Kizilskoye,64,RU,1514082703,44,52.73,58.89,-7.53,3.02
269,Kijang,90,KR,1514081400,93,35.24,129.21,51.8,18.34
270,Drabiv,88,UA,1514082704,93,49.96,32.14,27.08,20.36
271,Uige,56,AO,1514082704,90,-7.61,15.06,61.69,1.34
272,Nkongsamba,92,CM,1514082705,92,4.95,9.94,72.98,1.12
273,Kondoa,8,TZ,1514082706,72,-4.91,35.78,58.18,3.13
274,Pacasmayo,88,PE,1514082706,97,-7.4,-79.57,64.88,11.56
275,Aldan,44,RU,1514082706,58,58.61,125.39,-13.06,3.51
276,Crib Point,20,AU,1514082707,97,-38.35,145.2,64.12,13.31
277,Izhmorskiy,88,RU,1514082707,85,56.19,86.64,14.08,7.61
278,Kitgum,0,UG,1514082708,66,3.3,32.88,54.85,3.62
279,Ojinaga,0,US,1514082708,50,29.56,-104.41,33.34,2.57
